tig00000001_pilon	NC_017960.1	99.978	184417	18	20	911055	1095468	2482938	2298541	0.0	3.403e+05
tig00000001_pilon	NC_017960.1	99.987	174357	12	11	1802161	1976513	1526115	1700464	0.0	3.218e+05
tig00000001_pilon	NC_017960.1	99.974	171214	20	17	1349927	1521125	1078376	1249579	0.0	3.159e+05
tig00000001_pilon	NC_017960.1	99.882	171594	184	13	2312884	2484467	2011016	2182601	0.0	3.157e+05
tig00000001_pilon	NC_017960.1	99.975	161923	23	12	109976	271892	577368	415457	0.0	2.988e+05
tig00000001_pilon	NC_017960.1	99.943	138321	64	12	1584225	1722540	1307554	1445864	0.0	2.550e+05
tig00000001_pilon	NC_017960.1	99.984	132725	14	7	2643003	2775723	822470	689749	0.0	2.450e+05
tig00000001_pilon	NC_017960.1	99.984	115969	7	7	2486249	2602215	2182600	2298559	0.0	2.140e+05
tig00000001_pilon	NC_017960.1	99.992	107752	4	5	765333	873081	2624683	2516934	0.0	1.989e+05
tig00000001_pilon	NC_017960.1	99.975	91547	16	6	18440	109982	682147	590604	0.0	1.689e+05
tig00000001_pilon	NC_017960.1	99.974	87749	13	10	1247593	1335337	976023	1063765	0.0	1.619e+05
tig00000001_pilon	NC_017960.1	99.868	80070	85	20	546709	626766	80061	1	0.0	1.473e+05
tig00000001_pilon	NC_017960.1	99.991	64238	6	0	1736411	1800648	1461887	1526124	0.0	1.186e+05
tig00000001_pilon	NC_017960.1	99.986	56598	6	2	2056402	2112999	1738894	1795489	0.0	1.045e+05
tig00000001_pilon	NC_017960.1	99.989	43883	3	2	1185140	1229021	916614	960495	0.0	81008
tig00000001_pilon	NC_017960.1	99.956	40783	10	7	626767	667549	2698137	2657363	0.0	75205
tig00000001_pilon	NC_017960.1	98.635	40001	509	35	2151708	2191689	1831483	1871465	0.0	70809
tig00000001_pilon	NC_017960.1	99.960	34687	2	11	2115710	2150389	1795488	1830169	0.0	63967
tig00000001_pilon	NC_017960.1	99.790	33342	38	13	667112	700450	2657941	2624629	0.0	61154
tig00000001_pilon	NC_017960.1	99.237	32231	234	12	416977	449201	202230	170006	0.0	58146
tig00000001_pilon	NC_017960.1	98.626	28529	382	9	1132282	1160805	854125	882648	0.0	50503
tig00000001_pilon	NC_017960.1	99.985	27096	2	2	2027793	2054887	1711807	1738901	0.0	50013
tig00000001_pilon	NC_017960.1	99.815	26428	38	10	885662	912084	2508052	2481631	0.0	48521
